id,input_receptor,input_ligand,input_template
H1172v4,data/casp15_set/casp15_holo_aligned_predicted_structures/H1172v4_holo_aligned_predicted_protein.pdb,Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO[P@](=O)([O-])OP(=O)([O-])[O-])[C@@H](O)[C@H]1O|Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO[P@](=O)([O-])OP(=O)([O-])[O-])[C@@H](O)[C@H]1O|Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO[P@](=O)([O-])OP(=O)([O-])[O-])[C@@H](O)[C@H]1O|Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)([O-])OP(=O)([O-])OP([O-])([O-])=S)[C@@H](O)[C@H]1O|Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)([O-])OP(=O)([O-])OP([O-])([O-])=S)[C@@H](O)[C@H]1O|Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)([O-])OP(=O)([O-])OP([O-])([O-])=S)[C@@H](O)[C@H]1O|[Mg+2]|[Mg+2]|[Mg+2],data/casp15_set/casp15_holo_aligned_predicted_structures/H1172v4_holo_aligned_predicted_protein.pdb
T1127v2,data/casp15_set/casp15_holo_aligned_predicted_structures/T1127v2_holo_aligned_predicted_protein.pdb,CC(C)(CO[P@](=O)(O)O[P@@](=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O)[C@@H](O)C(=O)NCCC(=O)NCCS|CC(C)(CO[P@](=O)(O)O[P@@](=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O)[C@@H](O)C(=O)NCCC(=O)NCCS|O=S(=O)(O)CCN1CCN(CCO)CC1|O=S(=O)(O)CCN1CCN(CCO)CC1|C[C@H](O)CC(C)(C)O,data/casp15_set/casp15_holo_aligned_predicted_structures/T1127v2_holo_aligned_predicted_protein.pdb
H1171v1,data/casp15_set/casp15_holo_aligned_predicted_structures/H1171v1_holo_aligned_predicted_protein.pdb,Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO[P@](=O)([O-])OP(=O)([O-])[O-])[C@@H](O)[C@H]1O|Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)([O-])OP(=O)([O-])OP([O-])([O-])=S)[C@@H](O)[C@H]1O|Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)([O-])OP(=O)([O-])OP([O-])([O-])=S)[C@@H](O)[C@H]1O|Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)([O-])OP(=O)([O-])OP([O-])([O-])=S)[C@@H](O)[C@H]1O|Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)([O-])OP(=O)([O-])OP([O-])([O-])=S)[C@@H](O)[C@H]1O|Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)([O-])OP(=O)([O-])OP([O-])([O-])=S)[C@@H](O)[C@H]1O|[Mg+2]|[Mg+2]|[Mg+2]|[Mg+2]|[Mg+2],data/casp15_set/casp15_holo_aligned_predicted_structures/H1171v1_holo_aligned_predicted_protein.pdb
T1152,data/casp15_set/casp15_holo_aligned_predicted_structures/T1152_holo_aligned_predicted_protein.pdb,CC(=O)NC1C(O)OC(CO)C(OC2OC(CO)C(OC3OC(CO)C(O)C(O)C3NC(C)=O)C(O)C2NC(C)=O)C1O,data/casp15_set/casp15_holo_aligned_predicted_structures/T1152_holo_aligned_predicted_protein.pdb
T1188,data/casp15_set/casp15_holo_aligned_predicted_structures/T1188_holo_aligned_predicted_protein.pdb,Cn1cnc2c1c(=O)n(CCCn1c(=O)c3c(ncn3C)n(C)c1=O)c(=O)n2C|Cn1cnc2c1c(=O)n(CCCn1c(=O)c3c(ncn3C)n(C)c1=O)c(=O)n2C|[Cd+2]|[Cd+2]|[Co+2],data/casp15_set/casp15_holo_aligned_predicted_structures/T1188_holo_aligned_predicted_protein.pdb
T1146,data/casp15_set/casp15_holo_aligned_predicted_structures/T1146_holo_aligned_predicted_protein.pdb,CC(=O)N[C@H]1[C@H](O)O[C@H](CO)[C@@H](O)[C@@H]1O,data/casp15_set/casp15_holo_aligned_predicted_structures/T1146_holo_aligned_predicted_protein.pdb
T1158v3,data/casp15_set/casp15_holo_aligned_predicted_structures/T1158v3_holo_aligned_predicted_protein.pdb,C[C@]12CC[C@H]3[C@H]([C@@H]1CCC2=O)CC=C4[C@@]3(CC[C@@H](C4)OS(=O)(=O)O)C,data/casp15_set/casp15_holo_aligned_predicted_structures/T1158v3_holo_aligned_predicted_protein.pdb
H1171v2,data/casp15_set/casp15_holo_aligned_predicted_structures/H1171v2_holo_aligned_predicted_protein.pdb,Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO[P@](=O)([O-])OP(=O)([O-])[O-])[C@@H](O)[C@H]1O|Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO[P@](=O)([O-])OP(=O)([O-])[O-])[C@@H](O)[C@H]1O|Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO[P@](=O)([O-])OP(=O)([O-])[O-])[C@@H](O)[C@H]1O|Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)([O-])OP(=O)([O-])OP([O-])([O-])=S)[C@@H](O)[C@H]1O|Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)([O-])OP(=O)([O-])OP([O-])([O-])=S)[C@@H](O)[C@H]1O|Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)([O-])OP(=O)([O-])OP([O-])([O-])=S)[C@@H](O)[C@H]1O|[Mg+2]|[Mg+2]|[Mg+2],data/casp15_set/casp15_holo_aligned_predicted_structures/H1171v2_holo_aligned_predicted_protein.pdb
H1135,data/casp15_set/casp15_holo_aligned_predicted_structures/H1135_holo_aligned_predicted_protein.pdb,[Cl-]|[Cl-]|[Cl-]|[K+]|[K+]|[K+]|[K+]|[K+]|[K+]|[K+]|[K+]|[K+],data/casp15_set/casp15_holo_aligned_predicted_structures/H1135_holo_aligned_predicted_protein.pdb
T1158v4,data/casp15_set/casp15_holo_aligned_predicted_structures/T1158v4_holo_aligned_predicted_protein.pdb,C1=NC(=C2C(=N1)N(C=N2)[C@H]3[C@@H]([C@@H]([C@H](O3)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O)O)N|C1=NC(=C2C(=N1)N(C=N2)[C@H]3[C@@H]([C@@H]([C@H](O3)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O)O)N|[Mg+2]|[Mg+2],data/casp15_set/casp15_holo_aligned_predicted_structures/T1158v4_holo_aligned_predicted_protein.pdb
